cislo_smlouvy,cislo_objednavky,dodavatel,ico,cislo_faktury,datum_vystaveni,datum_prijeti,datum_splatnosti,datum_uhrady,celkova_castka,castka_polozky,mena,ucel_platby,polozka_rozpoctu,nazev_plozky_rozpoctu,kapitola,nazev_kapitoly
,,Milan Kavale,67416501,8361219,2019-12-31,2020-01-02,2020-01-31,,495.0,495.0,CZK,catering 12/2019,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8351219,2019-12-31,2020-01-02,2020-01-31,,461.0,461.0,CZK,catering 12/2019,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8341219,2019-12-31,2020-01-02,2020-01-31,,2273.0,2273.0,CZK,catering 12/2019,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8331219,2019-12-31,2020-01-02,2020-01-31,,682.0,682.0,CZK,catering 12/2019,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8321219,2019-12-31,2020-01-02,2020-01-31,,422.0,422.0,CZK,catering 12/2019,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8311219,2019-12-31,2020-01-02,2020-01-31,,322.0,322.0,CZK,catering 12/2019,5175,Pohoštění,315,Ministerstvo životního prostředí
,,Milan Kavale,67416501,8291219,2019-12-31,2020-01-02,2020-01-31,,234.0,234.0,CZK,catering 12/2019 - Modernizační fond,5175,Pohoštění - catering/ limit dle Směrnice,315,Ministerstvo životního prostředí
170271,,"ČEZ, a. s.",45274649,9907030036,2019-12-31,2020-01-02,2020-01-30,,14520.0,14520.0,CZK,podnájem elektromobilu 1 - 12/2019,5164,Nájemné,315,Ministerstvo životního prostředí
,19/O0926,"Vodní hospodářství, spol. s r.o.",25172379,1000007979,2019-12-23,2020-01-02,2019-12-23,,9660.0,9660.0,CZK,Vyúčt. DD k DOZAL č. 197/2019,5136,"Knihy, učební pomůcky a tisk",315,Ministerstvo životního prostředí
,19/O0826,SEND Předplatné spol. s r.o.,61061409,1190008701,2019-11-13,2020-01-02,2019-11-13,,884.0,884.0,CZK,Vyúčt. DD k DOZAL č. 163/2019,5136,"Knihy, učební pomůcky a tisk",315,Ministerstvo životního prostředí
